premise,hypothesis,label
Package Volume: 0.631 m³,This example is about Origin,contradiction
Service Type: Ground,This example is about Timestamp,contradiction
"Origin: Sydney, AE",This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2024-04-25 22:24:42,This example is about TotalWeight,contradiction
Package Volume: 0.502 m³,This example is about DateAndTimes,contradiction
Number of Packages: 5,This example is about TotalPackages,entailment
Package Weight: 60.28 KG,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2023-05-19 11:55:34,This example is about TotalWeight,contradiction
Number of Packages: 6,This example is about TotalVolume,contradiction
Package Weight: 71.59 KG,This example is about TotalWeight,entailment
Package Volume: 0.845 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2023-08-31 08:46:23,This example is about DateAndTimes,entailment
Package Volume: 0.568 m³,This example is about TotalVolume,entailment
"Origin: Sydney, CN",This example is about Origin,entailment
Package Volume: 0.151 m³,This example is about DateAndTimes,contradiction
Package Weight: 83.92 KG,This example is about Timestamp,contradiction
"Destination: Dubai, CA",This example is about Destination,entailment
Shipment ID: UPS658937684404,This example is about HousebillNumber,entailment
"Origin: Mumbai, CN",This example is about TotalPackages,contradiction
"Destination: Mumbai, AE",This example is about Origin,contradiction
"Destination: Mumbai, AE",This example is about TotalVolume,contradiction
Package Weight: 7.77 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2023-08-19 10:23:41,This example is about TotalWeight,contradiction
"Destination: Tokyo, US",This example is about Destination,entailment
"Destination: Sydney, AE",This example is about Destination,entailment
Scheduled DateAndTimes: 2023-06-21 20:13:19,This example is about Timestamp,contradiction
Number of Packages: 3,This example is about Destination,contradiction
Package Volume: 0.723 m³,This example is about TotalVolume,entailment
Service Type: 2nd Day Air,This example is about HousebillNumber,contradiction
Package Volume: 0.565 m³,This example is about TotalVolume,entailment
"Destination: Berlin, AU",This example is about TotalVolume,contradiction
Number of Packages: 10,This example is about TotalPackages,entailment
"Destination: Mumbai, CN",This example is about Destination,entailment
Package Weight: 34.56 KG,This example is about Destination,contradiction
"Destination: Mumbai, IN",This example is about HousebillNumber,contradiction
Package Weight: 42.88 KG,This example is about Destination,contradiction
Scheduled DateAndTimes: 2024-04-08 15:52:24,This example is about DateAndTimes,entailment
Package Volume: 0.816 m³,This example is about DateAndTimes,contradiction
Shipment Status: Departed facility at 2023-04-02 16:57:30,This example is about TotalVolume,contradiction
Package Volume: 0.217 m³,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2023-05-06 11:12:24,This example is about DateAndTimes,entailment
"Origin: Sydney, CN",This example is about Origin,entailment
"Destination: Dubai, CA",This example is about Destination,entailment
Number of Packages: 4,This example is about TotalPackages,entailment
"Destination: Mumbai, AE",This example is about TotalVolume,contradiction
Package Weight: 63.11 KG,This example is about TotalWeight,entailment
Service Type: Express,This example is about ProductType,entailment
Package Weight: 47.47 KG,This example is about TotalWeight,entailment
Shipment ID: DHL395321448182,This example is about HousebillNumber,entailment
"Destination: New York, AU",This example is about HousebillNumber,contradiction
Shipment Status: Delivered at 2024-06-24 07:23:10,This example is about Destination,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
Package Volume: 0.897 m³,This example is about Destination,contradiction
"Destination: New York, AU",This example is about Destination,entailment
"Origin: Toronto, CA",This example is about Origin,entailment
Service Type: Ground,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2024-10-21 06:42:04,This example is about DateAndTimes,entailment
"Origin: Beijing, FR",This example is about Origin,entailment
Package Volume: 0.734 m³,This example is about TotalVolume,entailment
Scheduled DateAndTimes: 2023-05-18 15:55:03,This example is about TotalVolume,contradiction
Shipment Status: Departed facility at 2023-10-22 08:30:26,This example is about DateAndTimes,contradiction
Service Type: Same Day,This example is about TotalWeight,contradiction
Service Type: Standard,This example is about ProductType,entailment
Shipment Status: Out for delivery at 2023-09-16 18:34:53,This example is about TotalWeight,contradiction
Service Type: Express,This example is about ProductType,entailment
Service Type: Next Day Air,This example is about Timestamp,contradiction
"Destination: Tokyo, FR",This example is about Destination,entailment
Package Volume: 0.657 m³,This example is about TotalWeight,contradiction
Package Weight: 24.62 KG,This example is about TotalWeight,entailment
"Destination: Toronto, CA",This example is about Origin,contradiction
"Destination: London, DE",This example is about Destination,entailment
"Destination: Dubai, DE",This example is about Destination,entailment
Package Volume: 0.455 m³,This example is about TotalPackages,contradiction
"Origin: New York, AE",This example is about ProductType,contradiction
Package Volume: 0.894 m³,This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2023-12-01 09:34:10,This example is about DateAndTimes,entailment
Shipment Status: Out for delivery at 2024-01-18 16:19:56,This example is about Destination,contradiction
"Origin: Paris, US",This example is about TotalWeight,contradiction
"Origin: Dubai, CN",This example is about DateAndTimes,contradiction
Shipment Status: Exception at 2023-06-27 02:39:32,This example is about Timestamp,entailment
Service Type: Ground,This example is about Origin,contradiction
Number of Packages: 3,This example is about Timestamp,contradiction
Package Volume: 0.543 m³,This example is about TotalWeight,contradiction
Service Type: Ground,This example is about ProductType,entailment
Shipment Status: Arrived at facility at 2023-12-06 17:53:05,This example is about Timestamp,entailment
Service Type: Next Day Air,This example is about Timestamp,contradiction
Service Type: Express,This example is about ProductType,entailment
Scheduled DateAndTimes: 2024-11-02 20:51:35,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2024-05-10 12:58:02,This example is about Timestamp,contradiction
Package Weight: 5.65 KG,This example is about TotalWeight,entailment
Shipment ID: DHL769293028501,This example is about HousebillNumber,entailment
"Destination: Sydney, DE",This example is about Destination,entailment
Package Weight: 79.79 KG,This example is about TotalVolume,contradiction
Service Type: Standard,This example is about ProductType,entailment
Service Type: Ground,This example is about ProductType,entailment
"Destination: Dubai, FR",This example is about Destination,entailment
"Origin: Berlin, AU",This example is about ProductType,contradiction
Package Weight: 24.66 KG,This example is about TotalWeight,entailment
"Origin: New York, AU",This example is about Origin,entailment
"Destination: London, AE",This example is about TotalWeight,contradiction
"Origin: Berlin, CA",This example is about Origin,entailment
Scheduled DateAndTimes: 2024-04-02 22:43:42,This example is about DateAndTimes,entailment
Service Type: 2nd Day Air,This example is about TotalVolume,contradiction
"Origin: Dubai, CN",This example is about Origin,entailment
"Destination: Berlin, US",This example is about Timestamp,contradiction
"Origin: Beijing, IN",This example is about Origin,entailment
"Origin: Tokyo, FR",This example is about DateAndTimes,contradiction
"Origin: Berlin, JP",This example is about Destination,contradiction
Shipment Status: Exception at 2023-01-04 11:43:10,This example is about Timestamp,entailment
Shipment Status: Customs clearance at 2023-12-11 16:55:46,This example is about Timestamp,entailment
"Origin: Mumbai, FR",This example is about HousebillNumber,contradiction
Shipment Status: Exception at 2023-07-20 12:56:41,This example is about Timestamp,entailment
Number of Packages: 2,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2024-09-27 09:11:02,This example is about TotalPackages,contradiction
Shipment ID: FDX082507522044,This example is about HousebillNumber,entailment
Shipment ID: 1Z472670356195,This example is about HousebillNumber,entailment
"Destination: Dubai, CA",This example is about Origin,contradiction
Package Volume: 0.472 m³,This example is about TotalVolume,entailment
Package Volume: 0.539 m³,This example is about TotalVolume,entailment
Package Weight: 6.25 KG,This example is about TotalWeight,entailment
Package Weight: 5.46 KG,This example is about TotalWeight,entailment
Shipment Status: Customs clearance at 2024-10-08 13:29:20,This example is about Destination,contradiction
Service Type: Express,This example is about ProductType,entailment
Service Type: Economy,This example is about ProductType,entailment
Package Volume: 0.516 m³,This example is about Destination,contradiction
Package Volume: 0.779 m³,This example is about Destination,contradiction
Service Type: Express,This example is about Timestamp,contradiction
Shipment Status: Customs clearance at 2024-07-07 02:44:54,This example is about Timestamp,entailment
Shipment Status: Picked up at 2023-05-31 08:47:26,This example is about Timestamp,entailment
Shipment Status: Out for delivery at 2023-08-06 06:04:10,This example is about ProductType,contradiction
Shipment ID: DHL699343271768,This example is about HousebillNumber,entailment
"Origin: London, US",This example is about HousebillNumber,contradiction
Number of Packages: 5,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-09-12 18:27:45,This example is about ProductType,contradiction
Package Weight: 59.4 KG,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2024-05-10 13:58:57,This example is about TotalPackages,contradiction
"Destination: Tokyo, US",This example is about Destination,entailment
Package Weight: 21.7 KG,This example is about ProductType,contradiction
Shipment ID: UPS003295757405,This example is about HousebillNumber,entailment
"Origin: Mumbai, CA",This example is about Origin,entailment
Package Volume: 0.344 m³,This example is about TotalVolume,entailment
"Origin: Sydney, GB",This example is about Origin,entailment
"Destination: Mumbai, CN",This example is about Destination,entailment
"Destination: Toronto, AE",This example is about Destination,entailment
Package Weight: 73.16 KG,This example is about TotalPackages,contradiction
Service Type: Express,This example is about Timestamp,contradiction
Service Type: Freight,This example is about ProductType,entailment
Service Type: Freight,This example is about ProductType,entailment
Shipment Status: Picked up at 2024-06-22 02:08:32,This example is about DateAndTimes,contradiction
Service Type: Standard,This example is about ProductType,entailment
Number of Packages: 9,This example is about TotalPackages,entailment
Number of Packages: 2,This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2024-04-01 03:04:58,This example is about TotalWeight,contradiction
Number of Packages: 9,This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2024-10-24 21:44:54,This example is about DateAndTimes,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Service Type: Freight,This example is about TotalPackages,contradiction
"Destination: Tokyo, DE",This example is about TotalWeight,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
Number of Packages: 2,This example is about TotalPackages,entailment
Service Type: Same Day,This example is about HousebillNumber,contradiction
"Origin: New York, US",This example is about Origin,entailment
Package Volume: 0.251 m³,This example is about DateAndTimes,contradiction
Package Volume: 0.973 m³,This example is about TotalVolume,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
Shipment ID: DHL488637242355,This example is about HousebillNumber,entailment
Shipment ID: FDX610612348091,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2023-11-14 20:59:18,This example is about DateAndTimes,entailment
Number of Packages: 7,This example is about DateAndTimes,contradiction
Package Volume: 0.64 m³,This example is about DateAndTimes,contradiction
Number of Packages: 5,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2023-05-20 16:59:08,This example is about TotalVolume,contradiction
Package Volume: 0.116 m³,This example is about Destination,contradiction
Shipment Status: Exception at 2024-09-14 14:22:33,This example is about TotalVolume,contradiction
Number of Packages: 1,This example is about TotalPackages,entailment
Package Weight: 19.11 KG,This example is about TotalWeight,entailment
Shipment Status: Picked up at 2023-11-28 15:29:07,This example is about Timestamp,entailment
"Origin: Beijing, IN",This example is about DateAndTimes,contradiction
"Destination: Sydney, IN",This example is about Destination,entailment
Scheduled DateAndTimes: 2023-11-17 15:22:23,This example is about TotalPackages,contradiction
Shipment ID: DHL370766453827,This example is about HousebillNumber,entailment
Package Volume: 0.661 m³,This example is about TotalVolume,entailment
"Destination: Tokyo, FR",This example is about Destination,entailment
Package Volume: 0.217 m³,This example is about TotalVolume,entailment
Service Type: Standard,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2024-07-09 19:31:09,This example is about HousebillNumber,contradiction
Service Type: Same Day,This example is about Destination,contradiction
Package Weight: 76.64 KG,This example is about Origin,contradiction
"Origin: Toronto, CA",This example is about Timestamp,contradiction
Service Type: 2nd Day Air,This example is about TotalVolume,contradiction
Package Weight: 93.2 KG,This example is about TotalWeight,entailment
Service Type: Express,This example is about TotalPackages,contradiction
Number of Packages: 3,This example is about TotalPackages,entailment
"Origin: Mumbai, US",This example is about Destination,contradiction
Shipment ID: FDX225327116099,This example is about HousebillNumber,entailment
Package Volume: 0.01 m³,This example is about Destination,contradiction
Package Volume: 0.31 m³,This example is about ProductType,contradiction
"Origin: Toronto, DE",This example is about DateAndTimes,contradiction
Shipment Status: Picked up at 2023-09-14 08:19:54,This example is about Timestamp,entailment
"Origin: Sydney, DE",This example is about TotalWeight,contradiction
Package Volume: 0.062 m³,This example is about TotalVolume,entailment
Package Weight: 81.65 KG,This example is about HousebillNumber,contradiction
Shipment Status: Picked up at 2023-07-17 19:31:55,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-01-21 05:50:55,This example is about Origin,contradiction
Service Type: Express,This example is about HousebillNumber,contradiction
"Destination: Berlin, US",This example is about Destination,entailment
Shipment Status: Exception at 2024-08-19 06:44:10,This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2023-11-09 22:18:45,This example is about DateAndTimes,entailment
Number of Packages: 5,This example is about Origin,contradiction
Scheduled DateAndTimes: 2023-07-13 06:42:12,This example is about DateAndTimes,entailment
"Destination: Mumbai, JP",This example is about Destination,entailment
Package Volume: 0.563 m³,This example is about TotalVolume,entailment
Package Volume: 0.294 m³,This example is about TotalVolume,entailment
Shipment ID: FDX950195852667,This example is about HousebillNumber,entailment
Number of Packages: 9,This example is about TotalPackages,entailment
Package Volume: 0.039 m³,This example is about TotalVolume,entailment
Number of Packages: 4,This example is about TotalPackages,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Package Volume: 0.631 m³,This example is about ProductType,contradiction
"Destination: Toronto, JP",This example is about ProductType,contradiction
Scheduled DateAndTimes: 2024-01-02 18:05:26,This example is about TotalPackages,contradiction
"Origin: Sydney, AU",This example is about Timestamp,contradiction
"Destination: Toronto, CA",This example is about Destination,entailment
Package Weight: 73.65 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2023-12-12 08:40:51,This example is about DateAndTimes,entailment
"Destination: Beijing, IN",This example is about Destination,entailment
Service Type: Express,This example is about Origin,contradiction
Shipment Status: Delivered at 2024-10-24 22:35:03,This example is about Timestamp,entailment
Number of Packages: 8,This example is about Origin,contradiction
Service Type: Express,This example is about HousebillNumber,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
Shipment Status: Customs clearance at 2023-08-07 14:42:46,This example is about Timestamp,entailment
Number of Packages: 9,This example is about TotalPackages,entailment
Package Weight: 29.08 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2024-11-25 12:14:25,This example is about ProductType,contradiction
"Destination: New York, AE",This example is about Destination,entailment
Package Volume: 0.512 m³,This example is about Destination,contradiction
"Destination: Dubai, CA",This example is about HousebillNumber,contradiction
Package Weight: 57.43 KG,This example is about TotalWeight,entailment
Package Volume: 0.874 m³,This example is about TotalVolume,entailment
"Destination: Toronto, GB",This example is about Destination,entailment
Shipment Status: Arrived at facility at 2024-02-09 13:56:16,This example is about ProductType,contradiction
Shipment Status: Departed facility at 2023-01-14 11:21:04,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2023-03-04 21:25:38,This example is about DateAndTimes,entailment
Service Type: Economy,This example is about ProductType,entailment
"Destination: New York, FR",This example is about DateAndTimes,contradiction
"Origin: New York, CA",This example is about TotalVolume,contradiction
Package Weight: 54.37 KG,This example is about Origin,contradiction
Shipment Status: Departed facility at 2024-04-04 01:12:35,This example is about Timestamp,entailment
Package Volume: 0.019 m³,This example is about Origin,contradiction
Package Weight: 86.33 KG,This example is about TotalPackages,contradiction
Package Weight: 65.17 KG,This example is about TotalWeight,entailment
Number of Packages: 10,This example is about TotalPackages,entailment
"Destination: Sydney, CA",This example is about Destination,entailment
Package Volume: 0.77 m³,This example is about Destination,contradiction
"Destination: London, AU",This example is about TotalPackages,contradiction
"Destination: Dubai, FR",This example is about Destination,entailment
Number of Packages: 4,This example is about TotalPackages,entailment
Shipment Status: Picked up at 2024-08-06 04:40:13,This example is about Timestamp,entailment
Package Weight: 2.61 KG,This example is about Origin,contradiction
Package Weight: 51.53 KG,This example is about TotalWeight,entailment
"Destination: Mumbai, IN",This example is about TotalVolume,contradiction
Number of Packages: 8,This example is about DateAndTimes,contradiction
Number of Packages: 6,This example is about Destination,contradiction
Scheduled DateAndTimes: 2024-07-05 01:03:07,This example is about HousebillNumber,contradiction
Number of Packages: 10,This example is about TotalVolume,contradiction
Package Weight: 59.77 KG,This example is about ProductType,contradiction
Service Type: 2nd Day Air,This example is about ProductType,entailment
Shipment Status: Exception at 2024-05-28 08:16:25,This example is about Timestamp,entailment
Package Volume: 0.968 m³,This example is about Timestamp,contradiction
"Origin: Sydney, CA",This example is about Origin,entailment
"Destination: Tokyo, FR",This example is about Destination,entailment
"Origin: Toronto, AE",This example is about TotalPackages,contradiction
"Destination: Dubai, GB",This example is about Destination,entailment
"Origin: Sydney, CN",This example is about Origin,entailment
Package Weight: 93.24 KG,This example is about TotalPackages,contradiction
Number of Packages: 1,This example is about Destination,contradiction
Shipment Status: Arrived at facility at 2024-12-29 17:11:33,This example is about Origin,contradiction
"Origin: Beijing, IN",This example is about Origin,entailment
"Destination: New York, CA",This example is about Destination,entailment
Package Weight: 6.62 KG,This example is about Destination,contradiction
Shipment ID: FDX191360221823,This example is about HousebillNumber,entailment
Package Volume: 0.603 m³,This example is about Destination,contradiction
Package Volume: 0.441 m³,This example is about DateAndTimes,contradiction
Service Type: Next Day Air,This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2024-09-06 23:53:30,This example is about DateAndTimes,entailment
"Origin: Dubai, US",This example is about Origin,entailment
Package Weight: 77.64 KG,This example is about TotalWeight,entailment
"Destination: Berlin, AE",This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2024-07-10 11:13:22,This example is about DateAndTimes,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
Shipment Status: Customs clearance at 2024-06-19 05:28:26,This example is about TotalVolume,contradiction
Service Type: Standard,This example is about HousebillNumber,contradiction
"Destination: Toronto, AE",This example is about ProductType,contradiction
Shipment Status: Arrived at facility at 2024-02-21 12:58:22,This example is about DateAndTimes,contradiction
Shipment Status: Arrived at facility at 2024-02-12 22:53:27,This example is about Timestamp,entailment
"Destination: New York, AE",This example is about Origin,contradiction
"Destination: Sydney, CA",This example is about ProductType,contradiction
"Destination: Dubai, AU",This example is about Destination,entailment
Scheduled DateAndTimes: 2024-07-01 16:00:12,This example is about DateAndTimes,entailment
Package Weight: 84.5 KG,This example is about TotalWeight,entailment
Shipment ID: DHL876938197241,This example is about HousebillNumber,entailment
"Origin: Toronto, GB",This example is about HousebillNumber,contradiction
"Origin: Dubai, IN",This example is about HousebillNumber,contradiction
Number of Packages: 2,This example is about TotalPackages,entailment
Package Weight: 71.09 KG,This example is about TotalWeight,entailment
Shipment ID: FDX818952247252,This example is about HousebillNumber,entailment
"Origin: Dubai, JP",This example is about Origin,entailment
Package Weight: 54.37 KG,This example is about TotalPackages,contradiction
"Origin: London, IN",This example is about Origin,entailment
Shipment Status: Out for delivery at 2023-07-31 05:52:16,This example is about TotalVolume,contradiction
Package Volume: 0.835 m³,This example is about TotalVolume,entailment
Shipment Status: Out for delivery at 2023-06-17 16:07:53,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2023-07-08 11:59:57,This example is about Origin,contradiction
Package Weight: 57.99 KG,This example is about TotalWeight,entailment
"Origin: Paris, US",This example is about Origin,entailment
Package Volume: 0.917 m³,This example is about TotalVolume,entailment
Package Volume: 0.497 m³,This example is about Timestamp,contradiction
"Destination: Berlin, DE",This example is about Timestamp,contradiction
Shipment Status: Delivered at 2023-06-17 22:03:07,This example is about Timestamp,entailment
Shipment ID: DHL801251519683,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2023-08-03 03:24:38,This example is about TotalWeight,contradiction
"Origin: Tokyo, US",This example is about TotalPackages,contradiction
Number of Packages: 7,This example is about TotalPackages,entailment
Package Volume: 0.601 m³,This example is about TotalVolume,entailment
Package Volume: 0.599 m³,This example is about Destination,contradiction
Shipment Status: Exception at 2024-11-02 13:53:23,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-03-09 13:45:28,This example is about DateAndTimes,entailment
"Destination: Mumbai, DE",This example is about Destination,entailment
Scheduled DateAndTimes: 2024-10-04 17:10:51,This example is about HousebillNumber,contradiction
Service Type: Freight,This example is about DateAndTimes,contradiction
Shipment ID: FDX043090315470,This example is about HousebillNumber,entailment
Service Type: Freight,This example is about TotalVolume,contradiction
"Destination: Sydney, US",This example is about TotalVolume,contradiction
Number of Packages: 3,This example is about TotalWeight,contradiction
Shipment Status: Out for delivery at 2023-08-21 01:11:37,This example is about Timestamp,entailment
Package Weight: 74.24 KG,This example is about TotalWeight,entailment
Package Volume: 0.322 m³,This example is about TotalVolume,entailment
"Destination: London, JP",This example is about Destination,entailment
Scheduled DateAndTimes: 2024-04-28 03:14:35,This example is about DateAndTimes,entailment
Service Type: Freight,This example is about ProductType,entailment
Package Weight: 83.96 KG,This example is about Destination,contradiction
Shipment Status: Exception at 2024-09-14 14:22:33,This example is about Timestamp,entailment
Shipment Status: Departed facility at 2024-10-26 18:39:17,This example is about Timestamp,entailment
Package Volume: 0.873 m³,This example is about TotalVolume,entailment
Package Volume: 0.968 m³,This example is about TotalVolume,entailment
"Destination: London, AU",This example is about ProductType,contradiction
"Destination: New York, US",This example is about Destination,entailment
Service Type: Freight,This example is about ProductType,entailment
Package Volume: 0.433 m³,This example is about Timestamp,contradiction
Service Type: Freight,This example is about ProductType,entailment
Shipment Status: In transit at 2024-10-01 16:48:30,This example is about Origin,contradiction
Service Type: Economy,This example is about TotalPackages,contradiction
Service Type: Express,This example is about DateAndTimes,contradiction
Shipment ID: DHL678554961020,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2024-01-30 01:09:13,This example is about Destination,contradiction
"Destination: Toronto, FR",This example is about Destination,entailment
Shipment Status: Departed facility at 2023-02-09 11:19:31,This example is about TotalVolume,contradiction
"Origin: Dubai, CN",This example is about Origin,entailment
Shipment Status: Exception at 2024-05-22 03:44:47,This example is about Timestamp,entailment
"Destination: Beijing, JP",This example is about TotalWeight,contradiction
Service Type: Next Day Air,This example is about Origin,contradiction
Number of Packages: 4,This example is about Timestamp,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
Shipment ID: 1Z625721365528,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2024-02-09 22:11:56,This example is about Origin,contradiction
Shipment ID: UPS899173377533,This example is about HousebillNumber,entailment
Service Type: Economy,This example is about ProductType,entailment
Shipment ID: 1Z391061648135,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2024-10-02 09:46:56,This example is about DateAndTimes,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
"Destination: New York, IN",This example is about Timestamp,contradiction
Package Volume: 0.102 m³,This example is about TotalVolume,entailment
"Destination: Beijing, AE",This example is about ProductType,contradiction
"Origin: Tokyo, GB",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-10-27 13:38:57,This example is about DateAndTimes,entailment
Package Volume: 0.044 m³,This example is about Origin,contradiction
"Origin: Tokyo, FR",This example is about Origin,entailment
Service Type: Next Day Air,This example is about Timestamp,contradiction
Shipment ID: 1Z914145314034,This example is about HousebillNumber,entailment
Shipment ID: UPS806099796100,This example is about HousebillNumber,entailment
Service Type: Same Day,This example is about HousebillNumber,contradiction
Shipment ID: UPS537321398684,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2023-09-04 17:56:25,This example is about DateAndTimes,entailment
"Origin: Mumbai, US",This example is about Origin,entailment
Package Volume: 0.698 m³,This example is about HousebillNumber,contradiction
"Destination: Beijing, AE",This example is about Origin,contradiction
Package Volume: 0.964 m³,This example is about TotalVolume,entailment
"Origin: London, JP",This example is about Origin,entailment
Number of Packages: 3,This example is about Destination,contradiction
"Destination: Mumbai, AU",This example is about Destination,entailment
Number of Packages: 2,This example is about TotalPackages,entailment
Shipment Status: Departed facility at 2024-02-24 01:54:48,This example is about TotalVolume,contradiction
Number of Packages: 8,This example is about TotalWeight,contradiction
"Destination: Sydney, AE",This example is about Destination,entailment
Package Volume: 0.994 m³,This example is about DateAndTimes,contradiction
