premise,hypothesis,label
Shipment ID: FDX044063915357,This example is about HousebillNumber,entailment
Shipment Status: Customs clearance at 2023-09-04 22:55:40,This example is about Timestamp,entailment
Shipment Status: Picked up at 2024-09-03 07:35:23,This example is about Timestamp,entailment
"Destination: Tokyo, IN",This example is about Destination,entailment
Shipment ID: 1Z607903853856,This example is about HousebillNumber,entailment
Number of Packages: 10,This example is about Timestamp,contradiction
Number of Packages: 7,This example is about HousebillNumber,contradiction
Package Weight: 94.22 KG,This example is about Destination,contradiction
Shipment Status: Picked up at 2023-06-09 16:37:18,This example is about Destination,contradiction
Package Weight: 61.63 KG,This example is about TotalWeight,entailment
"Origin: Dubai, GB",This example is about Origin,entailment
Shipment ID: FDX294961300962,This example is about HousebillNumber,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
"Destination: London, US",This example is about Destination,entailment
Service Type: Ground,This example is about Origin,contradiction
Shipment Status: Delivered at 2024-02-21 08:10:05,This example is about Destination,contradiction
Service Type: Ground,This example is about ProductType,entailment
Package Weight: 95.18 KG,This example is about DateAndTimes,contradiction
Package Volume: 0.658 m³,This example is about TotalVolume,entailment
"Origin: Berlin, CA",This example is about TotalVolume,contradiction
Package Volume: 0.225 m³,This example is about TotalVolume,entailment
Package Volume: 0.349 m³,This example is about Destination,contradiction
Package Volume: 0.066 m³,This example is about Origin,contradiction
Service Type: Economy,This example is about TotalWeight,contradiction
Package Weight: 64.2 KG,This example is about Timestamp,contradiction
Shipment ID: FDX293472162587,This example is about HousebillNumber,entailment
Shipment Status: Delivered at 2024-03-22 11:26:57,This example is about DateAndTimes,contradiction
Shipment Status: In transit at 2023-06-04 03:57:47,This example is about Timestamp,entailment
Service Type: Same Day,This example is about ProductType,entailment
"Destination: Mumbai, FR",This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2024-05-27 00:37:13,This example is about TotalWeight,contradiction
Package Volume: 0.955 m³,This example is about TotalVolume,entailment
"Destination: Mumbai, AU",This example is about Destination,entailment
Shipment Status: Exception at 2024-12-14 13:20:54,This example is about Timestamp,entailment
"Origin: Dubai, GB",This example is about Origin,entailment
Shipment Status: Departed facility at 2023-03-22 05:58:49,This example is about Destination,contradiction
Number of Packages: 7,This example is about TotalPackages,entailment
Service Type: Freight,This example is about ProductType,entailment
Number of Packages: 4,This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2024-07-26 10:37:06,This example is about Destination,contradiction
Package Weight: 21.1 KG,This example is about DateAndTimes,contradiction
Shipment Status: Delivered at 2024-12-03 05:21:14,This example is about Destination,contradiction
Package Weight: 34.07 KG,This example is about HousebillNumber,contradiction
"Origin: London, JP",This example is about Origin,entailment
"Origin: London, CA",This example is about HousebillNumber,contradiction
"Destination: New York, IN",This example is about Destination,entailment
Service Type: Express,This example is about TotalWeight,contradiction
Package Volume: 0.089 m³,This example is about TotalWeight,contradiction
Shipment Status: Arrived at facility at 2024-08-18 19:37:28,This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2024-08-24 12:43:32,This example is about DateAndTimes,entailment
Package Volume: 0.922 m³,This example is about TotalVolume,entailment
Number of Packages: 3,This example is about TotalPackages,entailment
"Destination: Dubai, IN",This example is about Destination,entailment
Shipment Status: Out for delivery at 2024-03-26 04:02:44,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2023-09-13 19:59:21,This example is about DateAndTimes,entailment
Package Weight: 72.34 KG,This example is about TotalWeight,entailment
Package Weight: 34.07 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2024-04-25 11:35:19,This example is about Destination,contradiction
Shipment Status: Exception at 2023-07-22 22:49:18,This example is about Timestamp,entailment
"Origin: Mumbai, JP",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-05-17 12:37:16,This example is about DateAndTimes,entailment
Shipment Status: Customs clearance at 2023-10-05 02:15:42,This example is about TotalPackages,contradiction
Package Volume: 0.453 m³,This example is about HousebillNumber,contradiction
Service Type: Express,This example is about ProductType,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
Number of Packages: 8,This example is about TotalPackages,entailment
"Origin: Sydney, CA",This example is about Origin,entailment
Package Volume: 0.922 m³,This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2024-07-08 14:26:44,This example is about DateAndTimes,entailment
Package Weight: 88.67 KG,This example is about TotalWeight,entailment
Service Type: Express,This example is about Destination,contradiction
Shipment Status: Arrived at facility at 2024-12-02 19:03:48,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-10-03 02:07:42,This example is about ProductType,contradiction
"Origin: New York, CN",This example is about Origin,entailment
Service Type: Freight,This example is about ProductType,entailment
"Origin: Beijing, DE",This example is about Origin,entailment
Package Volume: 0.493 m³,This example is about TotalPackages,contradiction
Scheduled DateAndTimes: 2023-09-16 22:34:55,This example is about DateAndTimes,entailment
Package Weight: 88.15 KG,This example is about DateAndTimes,contradiction
"Destination: Toronto, AU",This example is about TotalWeight,contradiction
Package Weight: 78.91 KG,This example is about TotalWeight,entailment
Shipment Status: In transit at 2024-10-23 00:42:58,This example is about ProductType,contradiction
Shipment Status: Picked up at 2023-01-16 07:17:03,This example is about Destination,contradiction
"Destination: Beijing, CA",This example is about Destination,entailment
Shipment ID: 1Z910785117430,This example is about HousebillNumber,entailment
Shipment Status: Departed facility at 2024-01-10 01:27:08,This example is about Timestamp,entailment
Package Weight: 47.5 KG,This example is about HousebillNumber,contradiction
"Origin: Dubai, DE",This example is about Origin,entailment
Package Volume: 0.357 m³,This example is about TotalVolume,entailment
Shipment Status: Out for delivery at 2023-06-17 18:47:44,This example is about ProductType,contradiction
Number of Packages: 7,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2024-10-03 02:07:42,This example is about DateAndTimes,entailment
Package Weight: 66.95 KG,This example is about Origin,contradiction
Service Type: Freight,This example is about Timestamp,contradiction
Number of Packages: 5,This example is about TotalPackages,entailment
Shipment ID: 1Z081692843130,This example is about HousebillNumber,entailment
Package Volume: 0.73 m³,This example is about TotalVolume,entailment
Package Weight: 21.1 KG,This example is about TotalWeight,entailment
"Destination: Sydney, IN",This example is about Destination,entailment
Shipment Status: Out for delivery at 2023-06-17 18:47:44,This example is about Timestamp,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Package Weight: 60.27 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2023-01-04 03:57:54,This example is about ProductType,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
Service Type: Same Day,This example is about ProductType,entailment
"Origin: New York, CN",This example is about ProductType,contradiction
Shipment Status: Customs clearance at 2024-02-08 15:14:01,This example is about Timestamp,entailment
"Origin: New York, GB",This example is about ProductType,contradiction
Shipment Status: In transit at 2023-06-04 03:57:47,This example is about DateAndTimes,contradiction
Shipment Status: Delivered at 2023-10-14 01:48:12,This example is about TotalWeight,contradiction
Service Type: 2nd Day Air,This example is about TotalPackages,contradiction
"Destination: Tokyo, GB",This example is about Destination,entailment
Package Weight: 24.44 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2024-07-08 14:26:44,This example is about Destination,contradiction
Service Type: Standard,This example is about TotalPackages,contradiction
"Destination: Toronto, GB",This example is about Destination,entailment
Shipment Status: Departed facility at 2024-06-06 04:39:45,This example is about Timestamp,entailment
Package Volume: 0.243 m³,This example is about HousebillNumber,contradiction
Number of Packages: 10,This example is about HousebillNumber,contradiction
Package Weight: 88.58 KG,This example is about TotalWeight,entailment
Package Volume: 0.467 m³,This example is about TotalVolume,entailment
Shipment Status: Arrived at facility at 2024-12-04 06:48:52,This example is about TotalVolume,contradiction
"Origin: Mumbai, DE",This example is about ProductType,contradiction
Shipment ID: FDX669295386095,This example is about HousebillNumber,entailment
Shipment Status: Exception at 2023-12-04 19:17:31,This example is about Timestamp,entailment
Package Weight: 32.77 KG,This example is about TotalWeight,entailment
Number of Packages: 4,This example is about HousebillNumber,contradiction
"Destination: Berlin, IN",This example is about Destination,entailment
"Destination: Sydney, CN",This example is about Destination,entailment
Shipment Status: Delivered at 2024-08-02 10:55:43,This example is about TotalWeight,contradiction
Number of Packages: 8,This example is about TotalPackages,entailment
Number of Packages: 6,This example is about TotalPackages,entailment
Package Weight: 25.33 KG,This example is about DateAndTimes,contradiction
Service Type: Express,This example is about TotalPackages,contradiction
Number of Packages: 8,This example is about Origin,contradiction
"Origin: Paris, GB",This example is about TotalVolume,contradiction
Service Type: 2nd Day Air,This example is about ProductType,entailment
Package Volume: 0.841 m³,This example is about TotalWeight,contradiction
"Destination: Toronto, AE",This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2023-06-01 19:13:06,This example is about DateAndTimes,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
Package Weight: 93.39 KG,This example is about TotalVolume,contradiction
Package Volume: 0.425 m³,This example is about DateAndTimes,contradiction
Scheduled DateAndTimes: 2024-05-29 09:37:58,This example is about Origin,contradiction
Package Volume: 0.267 m³,This example is about DateAndTimes,contradiction
Package Volume: 0.357 m³,This example is about TotalVolume,entailment
Number of Packages: 3,This example is about Destination,contradiction
"Destination: Paris, US",This example is about Destination,entailment
Number of Packages: 7,This example is about TotalPackages,entailment
Shipment ID: DHL535847296257,This example is about HousebillNumber,entailment
Package Weight: 67.56 KG,This example is about TotalWeight,entailment
Service Type: Standard,This example is about Timestamp,contradiction
Shipment Status: Delivered at 2024-03-27 23:45:45,This example is about Timestamp,entailment
Package Volume: 0.723 m³,This example is about Timestamp,contradiction
Shipment Status: In transit at 2023-12-31 12:40:00,This example is about TotalVolume,contradiction
Shipment Status: Departed facility at 2024-01-30 23:14:09,This example is about TotalPackages,contradiction
"Origin: Toronto, US",This example is about Origin,entailment
Package Volume: 0.119 m³,This example is about TotalVolume,entailment
Package Volume: 0.842 m³,This example is about TotalVolume,entailment
Shipment Status: Arrived at facility at 2024-05-23 17:38:20,This example is about Timestamp,entailment
"Origin: Berlin, DE",This example is about DateAndTimes,contradiction
Shipment ID: FDX069465489568,This example is about HousebillNumber,entailment
"Origin: Berlin, IN",This example is about Origin,entailment
Package Weight: 93.96 KG,This example is about TotalWeight,entailment
Scheduled DateAndTimes: 2023-10-05 22:48:47,This example is about TotalPackages,contradiction
Package Weight: 88.15 KG,This example is about TotalWeight,entailment
Number of Packages: 1,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2023-01-26 11:56:15,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2024-06-18 04:54:45,This example is about DateAndTimes,entailment
Number of Packages: 5,This example is about TotalPackages,entailment
Scheduled DateAndTimes: 2024-02-25 22:46:09,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2024-06-04 23:35:34,This example is about Timestamp,contradiction
Service Type: Ground,This example is about ProductType,entailment
"Destination: Beijing, GB",This example is about Destination,entailment
Service Type: 2nd Day Air,This example is about ProductType,entailment
Package Weight: 32.77 KG,This example is about TotalVolume,contradiction
Package Weight: 64.08 KG,This example is about TotalWeight,entailment
Shipment ID: 1Z963582263346,This example is about HousebillNumber,entailment
Service Type: Standard,This example is about ProductType,entailment
Service Type: Freight,This example is about ProductType,entailment
Shipment Status: Delivered at 2024-05-05 18:59:14,This example is about Timestamp,entailment
Package Volume: 0.612 m³,This example is about ProductType,contradiction
"Destination: Dubai, GB",This example is about Destination,entailment
Number of Packages: 6,This example is about TotalPackages,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Package Volume: 0.215 m³,This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2023-03-03 21:20:59,This example is about TotalPackages,contradiction
"Destination: Berlin, IN",This example is about Destination,entailment
Shipment Status: Customs clearance at 2024-02-13 03:59:02,This example is about Timestamp,entailment
Package Volume: 0.595 m³,This example is about TotalVolume,entailment
Package Weight: 64.2 KG,This example is about TotalWeight,entailment
Number of Packages: 6,This example is about Timestamp,contradiction
Scheduled DateAndTimes: 2024-05-29 09:37:58,This example is about DateAndTimes,entailment
Shipment ID: UPS823678297566,This example is about HousebillNumber,entailment
Shipment Status: Picked up at 2024-04-26 23:27:44,This example is about ProductType,contradiction
Number of Packages: 6,This example is about Timestamp,contradiction
Shipment ID: FDX382848270173,This example is about HousebillNumber,entailment
Shipment ID: DHL171808028717,This example is about HousebillNumber,entailment
"Origin: Sydney, US",This example is about ProductType,contradiction
"Origin: Dubai, IN",This example is about TotalVolume,contradiction
Package Weight: 24.44 KG,This example is about DateAndTimes,contradiction
Package Weight: 62.85 KG,This example is about TotalWeight,entailment
Package Volume: 0.733 m³,This example is about TotalVolume,entailment
Number of Packages: 2,This example is about TotalPackages,entailment
Package Weight: 20.94 KG,This example is about Timestamp,contradiction
Service Type: Freight,This example is about Origin,contradiction
"Destination: Berlin, JP",This example is about Destination,entailment
Package Volume: 0.612 m³,This example is about TotalVolume,entailment
"Origin: Beijing, CA",This example is about Origin,entailment
Number of Packages: 5,This example is about TotalPackages,entailment
Package Weight: 88.67 KG,This example is about Destination,contradiction
Package Weight: 89.38 KG,This example is about TotalWeight,entailment
Service Type: Standard,This example is about Destination,contradiction
Service Type: Same Day,This example is about TotalPackages,contradiction
Package Weight: 11.65 KG,This example is about TotalWeight,entailment
"Origin: Beijing, CA",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-12-04 02:04:03,This example is about DateAndTimes,entailment
Scheduled DateAndTimes: 2023-02-12 12:56:00,This example is about TotalVolume,contradiction
Scheduled DateAndTimes: 2024-12-26 19:57:47,This example is about TotalVolume,contradiction
"Origin: Paris, GB",This example is about Origin,entailment
Service Type: 2nd Day Air,This example is about Origin,contradiction
Shipment Status: Arrived at facility at 2023-12-24 02:44:49,This example is about Timestamp,entailment
"Destination: Berlin, DE",This example is about TotalVolume,contradiction
Shipment Status: Out for delivery at 2024-10-22 21:34:13,This example is about ProductType,contradiction
Service Type: Freight,This example is about TotalVolume,contradiction
Shipment ID: FDX708310218257,This example is about HousebillNumber,entailment
Number of Packages: 10,This example is about Origin,contradiction
Shipment Status: Departed facility at 2024-06-26 12:34:55,This example is about Timestamp,entailment
"Origin: New York, DE",This example is about Origin,entailment
Scheduled DateAndTimes: 2023-06-05 17:13:37,This example is about DateAndTimes,entailment
Service Type: Freight,This example is about HousebillNumber,contradiction
"Origin: New York, FR",This example is about Destination,contradiction
Shipment Status: In transit at 2023-09-27 05:23:23,This example is about HousebillNumber,contradiction
"Destination: Toronto, AE",This example is about ProductType,contradiction
Shipment ID: 1Z295296409139,This example is about HousebillNumber,entailment
Shipment Status: Exception at 2024-04-12 07:40:30,This example is about Timestamp,entailment
Package Weight: 33.13 KG,This example is about TotalWeight,entailment
"Destination: Beijing, CN",This example is about Timestamp,contradiction
Package Weight: 78.91 KG,This example is about ProductType,contradiction
Scheduled DateAndTimes: 2024-07-29 05:07:12,This example is about DateAndTimes,entailment
"Destination: Toronto, AU",This example is about Destination,entailment
Shipment ID: 1Z719248276780,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2023-07-23 13:54:23,This example is about Origin,contradiction
Package Volume: 0.472 m³,This example is about TotalVolume,entailment
Service Type: Express,This example is about ProductType,entailment
Package Weight: 42.57 KG,This example is about TotalWeight,entailment
Service Type: Economy,This example is about ProductType,entailment
Package Volume: 0.736 m³,This example is about TotalVolume,entailment
Shipment Status: Picked up at 2023-05-30 11:53:58,This example is about Timestamp,entailment
Package Volume: 0.546 m³,This example is about TotalVolume,entailment
Shipment Status: Exception at 2023-08-15 22:56:01,This example is about Origin,contradiction
"Destination: Beijing, CA",This example is about Destination,entailment
Shipment ID: FDX648322046569,This example is about HousebillNumber,entailment
Package Weight: 79.61 KG,This example is about HousebillNumber,contradiction
"Origin: Sydney, GB",This example is about HousebillNumber,contradiction
Service Type: Express,This example is about ProductType,entailment
"Origin: New York, FR",This example is about Origin,entailment
Package Volume: 0.224 m³,This example is about TotalVolume,entailment
"Origin: Berlin, US",This example is about HousebillNumber,contradiction
Scheduled DateAndTimes: 2024-12-17 08:32:55,This example is about DateAndTimes,entailment
"Origin: New York, CN",This example is about Origin,entailment
Scheduled DateAndTimes: 2024-11-06 22:15:06,This example is about TotalVolume,contradiction
Shipment Status: Arrived at facility at 2023-12-24 02:44:49,This example is about HousebillNumber,contradiction
Shipment Status: Delivered at 2024-12-03 05:21:14,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2023-05-17 12:37:16,This example is about TotalVolume,contradiction
Shipment ID: 1Z298027278650,This example is about HousebillNumber,entailment
Number of Packages: 8,This example is about Destination,contradiction
"Destination: Beijing, CN",This example is about DateAndTimes,contradiction
Package Weight: 88.43 KG,This example is about HousebillNumber,contradiction
Package Weight: 50.22 KG,This example is about Timestamp,contradiction
Number of Packages: 4,This example is about TotalPackages,entailment
Shipment ID: UPS547781886038,This example is about HousebillNumber,entailment
Number of Packages: 7,This example is about Destination,contradiction
"Destination: Beijing, JP",This example is about TotalVolume,contradiction
"Destination: Mumbai, CA",This example is about DateAndTimes,contradiction
Package Volume: 0.215 m³,This example is about TotalVolume,entailment
Shipment ID: FDX483311374067,This example is about HousebillNumber,entailment
Shipment ID: 1Z420434607597,This example is about HousebillNumber,entailment
"Destination: Sydney, JP",This example is about Timestamp,contradiction
Service Type: Ground,This example is about ProductType,entailment
Number of Packages: 10,This example is about TotalPackages,entailment
"Destination: Sydney, AU",This example is about Destination,entailment
Package Volume: 0.128 m³,This example is about TotalVolume,entailment
Shipment Status: Exception at 2023-08-12 06:57:33,This example is about Timestamp,entailment
Shipment Status: Departed facility at 2024-11-04 12:17:37,This example is about ProductType,contradiction
"Destination: Paris, US",This example is about TotalVolume,contradiction
Package Volume: 0.842 m³,This example is about TotalWeight,contradiction
Package Weight: 15.07 KG,This example is about Destination,contradiction
Scheduled DateAndTimes: 2023-09-13 19:59:21,This example is about Timestamp,contradiction
Shipment Status: Departed facility at 2024-09-16 01:13:42,This example is about Timestamp,entailment
Number of Packages: 6,This example is about Destination,contradiction
"Origin: Berlin, DE",This example is about Origin,entailment
Package Volume: 0.066 m³,This example is about TotalVolume,entailment
Number of Packages: 1,This example is about TotalPackages,entailment
Shipment Status: Exception at 2023-07-09 23:07:47,This example is about Timestamp,entailment
"Origin: London, CA",This example is about Origin,entailment
Shipment ID: FDX013528854834,This example is about HousebillNumber,entailment
Scheduled DateAndTimes: 2023-02-18 06:45:30,This example is about Origin,contradiction
Shipment Status: Out for delivery at 2024-11-10 21:07:15,This example is about TotalWeight,contradiction
Scheduled DateAndTimes: 2023-03-23 09:55:35,This example is about Origin,contradiction
Number of Packages: 9,This example is about TotalPackages,entailment
Package Weight: 94.22 KG,This example is about TotalWeight,entailment
"Destination: Beijing, CA",This example is about TotalVolume,contradiction
"Destination: Dubai, CA",This example is about Destination,entailment
Package Weight: 70.0 KG,This example is about TotalWeight,entailment
Shipment Status: Customs clearance at 2024-08-07 01:09:00,This example is about TotalWeight,contradiction
Shipment Status: Picked up at 2023-05-30 07:50:02,This example is about Timestamp,entailment
Scheduled DateAndTimes: 2024-02-18 12:36:25,This example is about Destination,contradiction
Shipment Status: Delivered at 2023-03-27 10:30:22,This example is about Timestamp,entailment
"Destination: Toronto, AU",This example is about TotalVolume,contradiction
"Destination: Toronto, US",This example is about Destination,entailment
Package Weight: 76.91 KG,This example is about TotalWeight,entailment
Package Volume: 0.73 m³,This example is about DateAndTimes,contradiction
"Origin: Paris, US",This example is about HousebillNumber,contradiction
Package Volume: 0.02 m³,This example is about TotalVolume,entailment
Shipment ID: DHL877798810255,This example is about HousebillNumber,entailment
"Destination: Dubai, GB",This example is about ProductType,contradiction
Shipment ID: DHL939176334946,This example is about HousebillNumber,entailment
Number of Packages: 9,This example is about TotalPackages,entailment
Package Volume: 0.86 m³,This example is about TotalVolume,entailment
